title,description
Tattoo Interview,"Interview someone with tattoos. Ask them at least 3 of the following questions: What's the meaning of one of your tattoos; Where are you from; What was your first tattoo; Why did you get it; If you could remove a tattoo which one would it be and why?"
Plank or Squat Hold,"Hold either a plank (straight back, resting on forearms and toes) or a squat (fully seated position, hands out in front). Choose your poison and hold it for 90 seconds to complete the challenge. You get 1 attempt."
Pet Interview,"Interview a person with a pet. Ask: owner's name; pet's name; breed; how long they've had their pet; most expensive/annoying thing the pet has ever done."
Monkey Run,"Go to the nearest park or grassy area and do a 'monkey-run' (running on all fours) for 30 seconds. Provide video evidence."
I Want It That Way,"Sing the first verse and chorus of I Want It That Way by the Backstreet Boys. You may Google the lyrics. Record evidence."
Seriously Call,"Call any non-player and hold a phone call for 60 seconds using only the words 'Seriously' and 'I know'. If they don't pick up on the first attempt, or hang up within 60 seconds, it's an INSTANT VETO."
Kangaroo Race,"Verse a non-player in a kangaroo race: jump like a kangaroo past two stores or buildings. Start at the beginning of the first store/building and finish at the end of the second."
Natural Rainbow,"Create a rainbow (red, yellow, pink, green, orange, purple, blue) using only natural items (flowers, leaves, etc.). \n Take a photo of your masterpiece."
Cartwheel Challenge,"Find a non-player and both of you must attempt a cartwheel."
Months Alphabet Race,"Race a non-player to say the months of the year in alphabetical order. You do not have to win. No practice beforehand. Film only if they consent."
Five Birds Photo,"You have 10 minutes to take a photo of 5 different species of birds."
Fast Facts Quiz,"Ask a non-player to play Fast Facts. \n Ask the 10 questions and record with consent: \n What colours are in the Australian flag? (Blue, Red, White); \n How many stars in the Southern Cross? (5); \n Which two animals on the Australian coat of arms? (Kangaroo & Emu); \n What does CD stand for? (Compact Disc); \n What is the tallest building in Sydney CBD? (Crown Tower / Westpoint Tower); \n Name two bridges that allow people in/out of Sydney CBD (ANZAC, Harbour); \n Which has more bones: hands or feet? (Hands); \n What is the human's largest organ? (Skin); \n Which one is not like the other: Wallaby, Koala, Joey, Alligator, Jabiru? (Alligator); \n In which Australian state is the quokka found? (WA)."
Instant Veto 1,"UH OH you are forced to wait 7 minutes"
Instant Veto 2,"UH OH you are forced to wait 7 minutes"
