title,description
Thumb War Challenge,"Verse a non player in a thumb war!"
Yellow Spotto,"Its spotto time. Take a photo of 5 yellow items of clothing."
Motorbike Selfie,"Take a selfie with a motorcycle or moped."
Statue Mimic Selfie,"Take a selfie with a statue, posing like the statue."
60-Second Laugh Chain,"You must laugh continuously for 60 seconds out loud. For every non player that starts laughing you receive an extra band."
Nutbush Dance-Off,"You thought you was slick, but can u make the Nutbush drip? Do the nutbush for 1min. You receive 1 bonus band for every non-player that joins."
Staring Contest,"Challenge a non player in a staring competition."
Show and Tell,"Time for show and tell...(it's been a while) Find a non player, and do a show and tell of something in your bag."
Signature Handshake,"Make a handshake up with a team mate. Film it. Each player gets a band."
Dap Clap Capture,"Dap up a non player. See if u can capture the clap!"
Straw Sprint,"Collect drinking straws from different locations. You have 3 minutes from now to find the first straw. Every time you find another straw, the timer resets to 3 minutes. The challenge is over when your timer ends. 1 Band per straw. If you find no straws, the challenge is vetoed."
Napkin Dash,"Collect napkin from different locations. You have 2 minutes from now to find the first napkin. Every time you find another napkin, the timer resets to 2 minutes. The challenge is over when your timer ends. 1 Band per napkin. If you find no napkins, the challenge is vetoed."
Pet the Dog Request,"Ask someone: \n Can I pet that dawg? You must film yourself only, not them."
Fire Hose Photo,"Take a photo of the nearest fire hose."
Traffic Light Star Jumps,"Walk to the nearest traffic light. Do star jumps until the light changes."
Photo with Security,"Take a photo with a Police officer / Security Guard / Mall Cop"
Bird Count Selfie,"You have 3 minutes, starting now. Take a selfie. For each different bird in the photo, you get a band. You get 1 attempt. If you fail to get a single bird in the photo, the challenge is vetoed."
