title,description
"I Declare A Thumb War!","Verse a non player in a thumb war!\nAnyone can win.\n\nFilm your battle if possible!"
"Spotto!","It's spotto time!\nTake photos of 5 yellow items of clothing."
"Moto-Selfie","Take a selfie with a motorcycle or moped."
"Statue Selfie!","Take a selfie with a statue while posing like the statue."
"60-Second Laugh...","You must laugh continuously for 60 seconds out loud. You receive an extra band for every non-player that starts laughing."
"Nutbush Dance-Off!","Do the Nutbush for 1 minute. You receive 1 bonus band for every non-player that joins."
"Staring Contest","Challenge a non player to a staring contest. Anyone can win."
"It's Time For Show and Tell!","Time for show and tell... it's been a while right?\n\nFind a non-player and do a show and tell of something you're carrying with you right now."
"Signature Handshake","Make a handshake up with a teammate that has at least 6 steps.\n\nFilm it. Each player gets a band."
"Dap Clap Capture","Dap up a non-player.\n\nYou must film the dap (with their permission of course) to receive a band."
"Straw Rush","Collect drinking straws from different locations. You have 3 minutes from now to find the first straw.\n\nThe timer resets to 3 minutes every time you find another straw.\n\nThe challenge is over when your timer ends. The challenge is vetoed if you find no straws.\n\nYou receive 1 band per straw.\n\nYour time starts now!"
"Napkin Rush","Collect napkins from different locations. You have 2 minutes from now to find the first napkin.\n\nThe timer resets to 2 minutes every time you find another napkin.\n\nThe challenge is over when your timer ends. The challenge is vetoed if you find no napkins.\n\nYou receive 1 band per napkin.\n\nYour time starts now!"
"Pet That Dawg?!","Ask a non-player:\n\n""Can I pet that dawg?""\n\nYou must film yourself only - not them."
"Where's The Fire?!","Take a photo of a fire hose. It must be of the hose itself and not just the signage for it."
"I’m Telling You Man... Every Third Blink Is Slower...","Walk to the nearest traffic light. Do star jumps for a full cycle of the traffic lights - until every light has been red at least once."
"Photo With The Fuzz","Take a selfie with a Police Officer / Security Guard / Mall Cop. They must consent of course."
"Bird Selfie","You get 1 attempt to take a selfie. You receive 1 band for each bird visible in the photo.\n\nThe challenge is vetoed if you fail to get a single bird in the photo.\n\nYou have 3 minutes. Your time starts now."
